OBJECTID,NRI ID,State,State FIPS,County,County Type,County FIPS,Tract FIPS,GEOID20,Shape__Area,Shape__Length,CDRZ Designation Date,namelsad
755,T02063000300,Alaska,`02,Chugach,Census Area,63,000300,02063000300,45458902254,8621730.787,20-Nov-24,Chenega ANVSA
756,T02130000200,Alaska,02,Ketchikan Gateway,Borough,130,000200,02130000200,48852669.85,59300.95299,20-Nov-24,Ketchikan ANVSA
757,T02185000100,Alaska,02,North Slope,Borough,185,000100,02185000100,2487546260,352566.8073,20-Nov-24,Barrow ANVSA
758,T02185000200,Alaska,02,North Slope,Borough,185,000200,02185000200,1.77292E+12,15976249.82,20-Nov-24,Naqsragmiut
759,T02185000300,Alaska,02,North Slope,Borough,185,000300,02185000300,72841215631,2633197.238,20-Nov-24,Inupiat
760,T06033001302,California,06,Lake,County,033,001302,06033001302,509404413.2,136483.1353,20-Nov-24,Middletown
761,T06073021304,California,06,San Diego,County,073,021304,06073021304,113917396,52864.36502,20-Nov-24,Jamul
762,T16021970100,Idaho,16,Boundary,County,021,970100,16021970100,2192181084,277423.961,20-Nov-24,Kootenai
763,T16021970200,Idaho,16,Boundary,County,021,970200,16021970200,5420230758,434929.0548,20-Nov-24,Kootenai
764,T20177003605,Kansas,20,Shawnee,County,177,003605,20177003605,31482077.54,30933.11035,20-Nov-24,Prairie Band
765,T26025002800,Michigan,26,Calhoun,County,025,002800,26025002800,340234435.5,78211.99552,20-Nov-24,Nottawaseppi Huron Band of the Potawatomi
766,T30053000500,Montana,30,Lincoln,County,053,000500,30053000500,6218464941,487725.2341,20-Nov-24,Kootenai
767,T32031002801,Nevada,32,Washoe,County,031,002801,32031002801,5494935.219,12706.14099,20-Nov-24,Paiute Tribe
768,T40015162200,Oklahoma,40,Caddo,County,015,162200,40015162200,488320248.4,105803.6365,20-Nov-24,Comanche Nation
769,T40019892601,Oklahoma,40,Carter,County,019,892601,40019892601,3897620.055,8060.446567,20-Nov-24,Chickasaw
